Time	Channel A	Channel B
(ms)	(V)	(V)

10.33999974	2.48093000	-2.26224200
10.35999974	2.48093000	-2.26224200
10.37999974	2.48093000	-2.26224200
10.39999974	2.48093000	-2.17519700
10.41999974	2.48093000	-2.17519700
10.43999974	2.48093000	-2.17519700
10.45999974	2.48093000	-2.08815200
10.47999974	2.48093000	-2.17519700
10.49999973	2.48093000	-2.08815200
10.51999973	2.48093000	-2.08815200
10.53999973	2.48093000	-2.08815200
10.55999973	2.48093000	-2.08815200
10.57999973	2.48093000	-2.00110700
10.59999973	2.48093000	-2.00110700
10.61999973	2.48093000	-2.00110700
10.63999973	2.48093000	-2.00110700
10.65999973	2.43663900	-2.00110700
10.67999973	2.48093000	-2.00110700
10.69999973	2.48093000	-1.91406300
10.71999973	2.48093000	-1.91406300
10.73999973	2.48093000	-1.91406300
10.75999973	2.48093000	-1.91406300
10.77999973	2.48093000	-1.91406300
10.79999973	2.48093000	-1.82701800
10.81999973	2.48093000	-1.82701800
10.83999973	2.48093000	-1.82701800
10.85999973	2.48093000	-1.82701800
10.87999973	2.52522100	-1.73997300
10.89999972	2.52522100	-1.73997300
10.91999972	2.48093000	-1.73997300
10.93999972	2.48093000	-1.73997300
10.95999972	2.48093000	-1.65323600
10.97999972	2.48093000	-1.65323600
10.99999972	2.48093000	-1.65323600
11.01999972	2.48093000	-1.65323600
11.03999972	2.48093000	-1.65323600
11.05999972	2.48093000	-1.65323600
11.07999972	2.48093000	-1.56619100
11.09999972	2.48093000	-1.56619100
11.11999972	2.48093000	-1.56619100
11.13999972	2.48093000	-1.56619100
11.15999972	2.48093000	-1.56619100
11.17999972	2.52522100	-1.47914600
11.19999972	2.48093000	-1.47914600
11.21999972	2.48093000	-1.47914600
11.23999972	2.48093000	-1.47914600
11.25999972	2.48093000	-1.39210100
11.27999972	2.48093000	-1.47914600
11.29999971	2.48093000	-1.39210100
11.31999971	2.48093000	-1.39210100
11.33999971	2.48093000	-1.39210100
11.35999971	2.48093000	-1.39210100
11.37999971	2.48093000	-1.30505700
